0  0.000010038000255 0.000013241000488 0.000021129000743
1  0.000010182999176 0.000013391001630 0.000021273999664
2  0.000010333998944 0.000013537000996 0.000021419000404
3  0.000010489000488 0.000013837001461 0.000021865000235
4  0.000010633999409 0.000013982000382 0.000022010999601
5  0.000010784999176 0.000014128001567 0.000022161000743
6  0.000010935000319 0.000014429000657 0.000022607000574
7  0.000011084999642 0.000014574001398 0.000022751999495
8  0.000011235999409 0.000014719000319 0.000022898000680
9  0.000000000000000 0.000015020001229 0.000023344000510
10  0.000000000000000 0.000015165000150 0.000023488999432
11  0.000000000000000 0.000015315001292 0.000023639000574
12  0.000000000000000 0.000000000000000 0.000024086000849
13  0.000000000000000 0.000000000000000 0.000024230999770
14  0.000000000000000 0.000000000000000 0.000024376000511
